RespondentID,Sex,age,age_group,max_educert,qualification_tier,currentempstatus,occupation_cj,is_underemployed
114347712722.0,Male,31.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114370645488.0,Female,34.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114372135365.0,Female,30.0,27-31,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Elementary Occupations,1
114326267695.0,Female,27.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371459158.0,Female,27.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (contract),Elementary Occupations,1
114371467184.0,Male,31.0,27-31,Diploma/ certificates or equivalent,Diploma,Working full-time (contract),Clerical Support Workers,1
114371450789.0,Female,26.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (contract),Managers,0
114371441626.0,Male,27.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Managers,0
114371552690.0,Male,36.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114371488613.0,Female,29.0,27-31,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Clerical Support Workers,1
114371481667.0,Male,36.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114371436123.0,Female,36.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114358988231.0,Female,26.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (contract),Technician and Associate Professionals,0
114371456327.0,Female,38.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Clerical Support Workers,1
114371455132.0,Female,37.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Professional,0
114371457919.0,Female,28.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Clerical Support Workers,1
114369720762.0,Female,33.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371477368.0,Female,33.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Clerical Support Workers,1
114371494117.0,Female,31.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Plant and Machine Operators and Assemblers,1
114359310550.0,Female,35.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working part-time (contract),"Skilled Agriculture, Forestry, Livestock and Fishery Workers",1
114371402230.0,Female,33.0,32-44,Diploma/ certificates or equivalent,Diploma,Working part-time (permanent),Technician and Associate Professionals,0
114347796651.0,Male,28.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371399502.0,Male,33.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Professional,0
114371284630.0,Male,33.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Clerical Support Workers,1
114371310786.0,Female,37.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Managers,0
114371385798.0,Male,39.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Managers,0
114371393014.0,Male,29.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Managers,0
114358717123.0,Female,29.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114358756660.0,Female,30.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114371480113.0,Female,33.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Managers,0
114371482199.0,Female,29.0,27-31,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Clerical Support Workers,1
114371546559.0,Male,27.0,27-31,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Professional,0
114371482799.0,Male,34.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (contract),Clerical Support Workers,1
114358720082.0,Male,29.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114349574280.0,Female,30.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (contract),Managers,0
114371465271.0,Male,36.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Craft and Related Trades Workers,1
